"Company"|"Category"|"Date"|"Value"
"KLK"|"Oil Extraction Rate (%)"|2020|21.36
"KLK"|"Oil Extraction Rate (%)"|2021|21.29
"KLK"|"Oil Extraction Rate (%)"|2022|21.33
"KLK"|"Oil Extraction Rate (%)"|2023|21.75
"KLK"|"Oil Extraction Rate (%)"|2024|21.87
"KLK"|"Kernel Extraction Rate (%)"|2020|4.13
"KLK"|"Kernel Extraction Rate (%)"|2021|4.18
"KLK"|"Kernel Extraction Rate (%)"|2022|4.25
"KLK"|"Kernel Extraction Rate (%)"|2023|4.16
"KLK"|"Kernel Extraction Rate (%)"|2024|4.2
"SDG"|"Kernel Extraction Rate (%)"|2022|4.87
"SDG"|"Kernel Extraction Rate (%)"|2023|4.86
"SDG"|"Kernel Extraction Rate (%)"|2024|4.63
"SDG"|"Oil Extraction Rate (%)"|2022|21.1
"SDG"|"Oil Extraction Rate (%)"|2023|21.18
"SDG"|"Oil Extraction Rate (%)"|2024|20.97
"FGV"|"Kernel Extraction Rate (%)"|2020|5.09
"FGV"|"Kernel Extraction Rate (%)"|2021|5.04
"FGV"|"Kernel Extraction Rate (%)"|2022|5.06
"FGV"|"Kernel Extraction Rate (%)"|2023|5.02
"FGV"|"Kernel Extraction Rate (%)"|2024|4.81
"FGV"|"Oil Extraction Rate (%)"|2020|20.32
"FGV"|"Oil Extraction Rate (%)"|2021|20.54
"FGV"|"Oil Extraction Rate (%)"|2022|20.35
"FGV"|"Oil Extraction Rate (%)"|2023|20.68
"FGV"|"Oil Extraction Rate (%)"|2024|20.61
"IOI"|"Kernel Extraction Rate (%)"|2020|4.67
"IOI"|"Kernel Extraction Rate (%)"|2021|4.49
"IOI"|"Kernel Extraction Rate (%)"|2022|4.37
"IOI"|"Kernel Extraction Rate (%)"|2023|4.14
"IOI"|"Kernel Extraction Rate (%)"|2024|3.9
"IOI"|"Oil Extraction Rate (%)"|2020|21.83
"IOI"|"Oil Extraction Rate (%)"|2021|21.39
"IOI"|"Oil Extraction Rate (%)"|2022|21.39
"IOI"|"Oil Extraction Rate (%)"|2023|20.92
"IOI"|"Oil Extraction Rate (%)"|2024|21.77
"INNO"|"Oil Extraction Rate (%)"|2022|19.67
"INNO"|"Oil Extraction Rate (%)"|2023|19.82
"INNO"|"Oil Extraction Rate (%)"|2024|21.44
"INNO"|"Kernel Extraction Rate (%)"|2022|3.32
"INNO"|"Kernel Extraction Rate (%)"|2023|3.43
"INNO"|"Kernel Extraction Rate (%)"|2024|3.66
"KMLOONG"|"Oil Extraction Rate (%)"|2020|21.72
"KMLOONG"|"Oil Extraction Rate (%)"|2021|21.14
"KMLOONG"|"Oil Extraction Rate (%)"|2022|21.04
"KMLOONG"|"Oil Extraction Rate (%)"|2023|20.75
"KMLOONG"|"Oil Extraction Rate (%)"|2024|20.61
"KMLOONG"|"Kernel Extraction Rate (%)"|2020|5.27
"KMLOONG"|"Kernel Extraction Rate (%)"|2021|5.21
"KMLOONG"|"Kernel Extraction Rate (%)"|2022|5.09
"KMLOONG"|"Kernel Extraction Rate (%)"|2023|5.13
"KMLOONG"|"Kernel Extraction Rate (%)"|2024|5.01
