"ITEMS"|"MONTH_YEAR"|"VALUE"
"CRUDE PALM OIL PRODUCTION"|"October 2024"|1797348
"CRUDE PALM OIL PRODUCTION"|"November 2024"|1621294
"CRUDE PALM OIL PRODUCTION"|"December 2024"|1486786
"CRUDE PALM OIL PRODUCTION"|"January 2025"|1237078
"CRUDE PALM OIL PRODUCTION"|"February 2025"|1188029
"CRUDE PALM OIL PRODUCTION"|"March 2025"|1387193
"CRUDE PALM OIL PRODUCTION"|"April 2025"|1685962
"CRUDE PALM OIL STOCKS"|"October 2024"|943472
"CRUDE PALM OIL STOCKS"|"November 2024"|907494
"CRUDE PALM OIL STOCKS"|"December 2024"|894321
"CRUDE PALM OIL STOCKS"|"January 2025"|788946
"CRUDE PALM OIL STOCKS"|"February 2025"|826248
"CRUDE PALM OIL STOCKS"|"March 2025"|779233
"CRUDE PALM OIL STOCKS"|"April 2025"|1050864
"PROCESSED PALM OIL STOCKS"|"October 2024"|941711
"PROCESSED PALM OIL STOCKS"|"November 2024"|928673
"PROCESSED PALM OIL STOCKS"|"December 2024"|814426
"PROCESSED PALM OIL STOCKS"|"January 2025"|790817
"PROCESSED PALM OIL STOCKS"|"February 2025"|685852
"PROCESSED PALM OIL STOCKS"|"March 2025"|783353
"PROCESSED PALM OIL STOCKS"|"April 2025"|814673
"PALM OIL TOTAL STOCKS"|"October 2024"|1885183
"PALM OIL TOTAL STOCKS"|"November 2024"|1836167
"PALM OIL TOTAL STOCKS"|"December 2024"|1708747
"PALM OIL TOTAL STOCKS"|"January 2025"|1579763
"PALM OIL TOTAL STOCKS"|"February 2025"|1512100
"PALM OIL TOTAL STOCKS"|"March 2025"|1562586
"PALM OIL TOTAL STOCKS"|"April 2025"|1865537
"PALM KERNEL OIL TOTAL"|"October 2024"|311520
"PALM KERNEL OIL TOTAL"|"November 2024"|285610
"PALM KERNEL OIL TOTAL"|"December 2024"|273794
"PALM KERNEL OIL TOTAL"|"January 2025"|281640
"PALM KERNEL OIL TOTAL"|"February 2025"|276430
"PALM KERNEL OIL TOTAL"|"March 2025"|270437
"PALM KERNEL OIL TOTAL"|"April 2025"|307249
"PALM OIL EXPORT"|"October 2024"|1744265
"PALM OIL EXPORT"|"November 2024"|1487212
"PALM OIL EXPORT"|"December 2024"|1341732
"PALM OIL EXPORT"|"January 2025"|1168324
"PALM OIL EXPORT"|"February 2025"|1002135
"PALM OIL EXPORT"|"March 2025"|1005547
"PALM OIL EXPORT"|"April 2025"|1102266
"PALM OIL IMPORT"|"October 2024"|16347
"PALM OIL IMPORT"|"November 2024"|22081
"PALM OIL IMPORT"|"December 2024"|37917
"PALM OIL IMPORT"|"January 2025"|88474
"PALM OIL IMPORT"|"February 2025"|66784
"PALM OIL IMPORT"|"March 2025"|121886
"PALM OIL IMPORT"|"April 2025"|58292
"FFB (RM)"|"October 2024"|47.03
"FFB (RM)"|"November 2024"|55.52
"FFB (RM)"|"December 2024"|56.71
"FFB (RM)"|"January 2025"|51.88
"FFB (RM)"|"February 2025"|52.75
"FFB (RM)"|"March 2025"|52.5
"FFB (RM)"|"April 2025"|47.96
